body,date,location
"I used to read these in [date omitted to preserve anonymity] six and i sae my secondary and i js thought of it as a joke but i met a guy on snap that was in [date omitted to preserve anonymity] at my school meanwhile i was in year 7, we dated and got really serious but he would finger me in the cinema, at his mates house, in school he forced my head down and used all his strength to make me give him head, he gave me loads of hickey bruised all over my body, would strangle me and more. Climed into my bedroom once and he was waiting for a bus so i was js cleaning my room up while he was sitting on my bed and i turned around and he was wanking, all i could remember was him then forcing me to give him head, i never said yes to things but in a way i didnt know how to say no so i never know if it counts as assult and it keeps me up all night just thinking if it was my fault, the police got involved and now i regret it all so much because they say i asked for it or it looked like i wanted it. They dont believe me at all and they say i ruined his life. The school did nothing about it but give me a hard time by making me right statments and talk to them about it, i wore his hoodie around school and thats when they started calling me obsessed. I cant go anywhere without getting reminded of the things he did to me. My heart is racing even typing this but the police are currently downloading his phone because my mum told them to fuck off away from me and that there not aloud to have my phones and the police woman i was talking to had turned up at my school literally [date omitted to preserve anonymity] and for some reason i feel like something is gonna go against me when see sees his phone. I dont know what or how but i feel like this is gonna be bad and i have panic attacks everyday. I got drunk a [date omitted to preserve anonymity] and i ended up texting him and he told the police woman and shes now put me down for harrasment even tho i only messaged him 6 times and called him 3 screaming “i cant breathe a**** please im so sorry” and as a suicidal girl i feel like all this pressure is way too much for a 12 year old and i feel like killing myself because the police woman comes back.",APRIL 22 2023,UNITED KINGDOM
i was sexually assaulted for a year when i was 10 by another pupil. they would constantly put their hand down my skirt and when i would push them off they’d get physically and verbally abusive towards me.,APRIL 22 2023,UNITED KINGDOM
"I was sat down in school with the girl I was with at the time and she stated to put her hands on me and I tried to move away but she held onto me so I couldn’t leave , the worst part is when I reposted it she got away with it because she was a teachers daughter , and it’s the fact she did it in my school uniform, the uniform I have to wear basically every day",APRIL 22 2023,UNITED KINGDOM
i (age:11) was playing with my friend (age:11) in a other friends house .we were having fun until he decided to start touching me inappropriately. he would touch my boobs and my bum i told him to stop but he found it funny . my other friend who is younger (age:10) also started to notice and started telling him to stop but he didnt . finally he did but to this day i still feel sick to my stomach when i think of it .,APRIL 22 2023,SCOTLAND
"I was raped continuously throughout my 5 years at [organisation omitted to preserve anonymity] first school in [location omitted to preserve anonymity]. There was only one male teacher present at the school at the time and he seemed very nice and friendly, clearly not. He was a pedophile who unfortunately never got caught for his actions and moved away when he ran out of people to abuse. Noone at the school believed me when I told them about what he was doing because I was so young ( aged 5 - 9 years old ) and told me that I was just being silly and that he was ""helping"" as he was one of the only people at the school trained in first aid and he didn't teach any subjects, so he took the opportunity to whenever a child came in, rape them and say that it was helping. [organisation omitted to preserve anonymity] was such an amazing school when I went but eversince it has become a horrible school. I really hope that by adding it to the list people can see the damage that happens when they don't listen to children because they ""don't know what they are talking about and are to young to understand""",APRIL 22 2023,UNITED KINGDOM
I am 13 years old and I was out with my mates and I bummed into this guy we started talking and he seemed really nice he asked for my snap so I gave it him and we got closer until we started dating the first 3 months we’re amazing he treated me so well and it felt like I was worth something but then form the [date omitted to preserve anonymity] we started to argue everyday to the point where he would beat me and the arguments were mostly over the fact that I didn’t want to have sex with him he kept saying things like it’s all fine. Everyone does it and so on but I just kept replying saying I don’t want to just yet we haven’t been together long and I’m still really young and he used to get so ma diver it I just have in but then over time it just happens every single day and it was so draining he wouldn’t let me go out I had to be with him 2[date omitted to preserve anonymity]/7 and all he wanted was sex all the time and it got to paint where I told him I don’t want to anymore and one day he got so mad at it to the point where he grabbed me and choked me shouting your going to do what I say end of and he raped me. I still stayed with him for 4 months after that happened and I still saw him very say becuse whenever u tried to get away or break up with him he wouldn’t let me he would threaten me saying stuff like he was gunna kms if I left or he was gunna come to my house and I didn’t wanna be responsible for that he once sent me a video of him hanging himself to force me to get back with him and every time I gave in and I didn’t wanna tell anyone becuse I felt like they wouldn’t believe me but in the end I told my best mate and she took my phone and messaged him saying we’re over then blcoked him on every thing so he couldn’t message me but I was always in fear of the fact he would find a way to get in contact with me it’s been 3 months now since I broke up with him and I’m in many counciling sessions with people and it is helping me and this one teacher from my school have also reported him to police but they said they can’t do much becuse he’s a minor but he lives across the road from my school and he’s mates with alot of people in my school it’s terrifying when u see him outside waiting for them my heart drops every time I hate it and my school won’t tell him to leave or get off the site even tho they know everything that happens vacua’s he told everyone I was lying so I had to explain it to loads of people and he still won’t go away,APRIL 22 2023,UNITED KINGDOM
"When I was a first year at [organisation omitted to preserve anonymity], I lived in the infamous [location omitted to preserve anonymity] and honestly I loved it. I was always a party girl and this new found freedom was magical to me. I had just got out of a relationship and I was on tinder a lot and I met up with a guy in my student accommodation let’s call him D, we had consensual sex a good few times at halloween time and after that we didn’t speak and honestly I had moved on with my life. After a while I noticed a lot of red flags in him and I just generally lost interest. When I got back from the christmas holidays I started buying weed from him and therefore out of necessity we’d talk occasionally (nothing flirty or even that friendly just civil). In [date omitted to preserve anonymity] he invited himself to an afters at my house at which I was very drunk, once the majority of people had gone home he was begging me to stay at mine “because his friends was sleeping in his bed” after saying no multiple times I eventually gave in under the understanding I just wanted to go to sleep. However once he got into my bed he wouldn’t leave me alone, grinding up against me and kissing my neck despite my protests. He then said he wouldn’t let me sleep till I’d had sex with him. This guy was a 6ft very big guy, and I mean weightlifter kinda build, I am fairly tall (5ft 8 ish) but at the time was only 62kg so I knew I couldn’t do anything to stop him. I kept saying no but he wouldn’t take it for an answer, he had raped me in my own bed and I question whether it was rape because I let it happen I guess but it was easier than fighting with him. I begged him to use a condom and not to cum in me but he listened to neither, I am greatful I never got pregnant/ an STD. But I cried for the entire day after and for months I felt so uncomfortable during sex. My body felt dirty and I have never felt so much like a slut, idk the fun stopped when I realised I didn’t even really have control over my own body anymore, I can’t even describe how worthless that made me feel. I think universities should make more of an effort to protect young students in halls because I know so many people who have been raped in those halls, it is up to [location omitted to preserve anonymity] uni to step up.",APRIL 22 2023,SCOTLAND
"This will be a long story so I am sorry but I also thank you for taking the time to read this, in [date omitted to preserve anonymity] when I first joined my new secondary I had no friends and was just getting by (this was my first week in the school) I was lost in the corridor’s and a boy came up to me and asked if I were okay I explained I was lost so he took me to my class I thanked him, the [date omitted to preserve anonymity] he had found me again and asked if I wanted to join him for lunch I accepted and sat with him doing science work in one of the class rooms with a teacher, we got talking and he was in the year above me in [date omitted to preserve anonymity] the teacher had left and he had asked me to truant my next class I was skeptical but I wanted to make a new friend so after some persuasion I agreed, he took me into one of the bathrooms and locked the door (god knows why I agreed to that but I regret it) he took my phone from me and held it in the air and said “take your top off then you can have it back” I refused and tried to grab it but he pushed me away and threatened to drop it into the toilet so I tried grabbing it again and that’s when he grabbed me and started touching up my bum and saying how nice it was then he started to pull on my trousers button so I started to cry and I kicked him and he fell to the floor so I grabbed my bag and my phone and ran out of the bathroom the cameras outside the bathroom caught me running away with my trousers half down and with him chasing me begging me not to tell anyone I agreed and said i wouldn’t just to get him off my back. I walked into my classroom a mess and asked if I could talk to my teacher I had told her I needed to see the head and she agreed, police came to my house and questioned me and they gathered the cctv and my statement and he was expelled from the school only to come in for his GCSEs. [date omitted to preserve anonymity] I was getting ready to go to an apprenticeship interview and there I saw him in the entrance to the school he had seen me and he had made a “I will kill you” remark and I lost it I ran to my teacher having a panic attack and because of that I couldn’t go to my interview. Thankfully I have left now and I will never see that monster again.",APRIL 21 2023,UNITED KINGDOM
"My last relationship was physically abusive. I’m quite mentally ill and they used this against me a lot. A lot of the time it would be ‘i’ll be quick’ or ‘you owe me it’ or ‘come on i know you want to’ kind of thing throughout. Then it came to it where they were telling me that if i don’t have sex with them they’ll tell authorities everything that i’ve done, probably resulting in me being in a hospital, so i was terrified of them and they raped me and i still get flashbacks when im not distracted. it just kind of creeps up on me. they made me lose all my friends and family and when i asked to leave the relationship they started a physical fight with me. Since, i have left the relationship but it still comes back in my mind everyday and i wish i left the relationship at the warning signs. anyway, thank you for reading if you did. sharing has taken a little weight off my shoulders",APRIL 21 2023,UNITED KINGDOM
"This girl sexually harassed me on the [location omitted to preserve anonymity] staircase on my way to [location omitted to preserve anonymity] last period, no one cared nor believed me, not even my own friends, no one but myself. She spread rumours saying I was lying so I had a breakdown and told my parents, nothing has been resolved to this day, the school lie about how they help us.",APRIL 21 2023,UNITED KINGDOM
"I was raped a while ago by a man a few years older than me, he held me captive in my university accommodation and forced me to perform degrading acts on him. All the while he was extremely aggressive and continually choked me, telling me that I better be a ""good girl"" for him or he'll hurt me badly. One key phrase also stuck in my mind, as he remarked that ""it's so cute how weak you are"" when he was raping me. I feel so ashamed having done what he said, and since then there have been multiple incidents of sexual assault from other men in moments when I least expect it. I can't seem to recover or trust men because every time I begin to feel confident in myself and my sexuality, someone takes away my autonomy in a brief moment with a gesture or action and I'm back to feeling helpless and ashamed. I don't want to feel weak but I've realised that I am in comparison to most men, if and when they'd like they can overpower me and I'll have no control over my own body and actions. I live in constant paranoia and fear of this.",APRIL 21 2023,UNITED KINGDOM
sexually harassed by a male friend multiple times,APRIL 21 2023,ENGLAND
i don’t really know how to word it over text but i was followed from the college to my car by an older student then attacked in the school car park,APRIL 20 2023,UNITED KINGDOM
I was sa by a boy at my primary school,APRIL 20 2023,UNITED KINGDOM
I was walking in the corridor by myself and a sixth former pulled down my tights and grabbed my bum and started squishing it for what felt like an eternity,APRIL 20 2023,IRELAND
I was touched by 3 teachers,APRIL 20 2023,UNITED KINGDOM
"I was raped by a boy there and he sexually assaulted me multiple times and all they told him to do was not to do it. Fucking bullshit. Another boy is one of my exes and he keeps doing really sexual shit w me and kissing me and touching me. IN PUBLIC. He knows about my eating disorder and he said to me ""I'm going to kiss u and I hope it gives u the calories I just ate"" it wouldnt but it still was shit on me because it was like he didnt care at all. I had a forced relationship with another lad and he tried to kiss me multiple times in public. One boy in my classes, every single one who I see all day every day repeatedly asks if I cut myself which he knows I do and in front of groups of people he will say stuff like ""go slit ur wrists I hope u die"" and ""wrist reveal"" and ""do u cut urself"" and fucks sake it's so fucking annoying",APRIL 20 2023,UNITED KINGDOM
"When I was in kindergarten there was a group of 3 children (boys) who liked to go around and put their hands under girls skirts and tickle you there. We were allaround 3 to 4 years old. I remember that I used to go to class in summer just wearing the apron of the uniform, which was basically as a dress, as it was too hot. Since this started happening I didn't want to do it anymore and didn't want to put skirts neither. I also remember that one day I entered the little wooden house we had in the garden and I saw the same 3 children and another girl of my age. My memory is vague at this point but I think they were undressing her and at some point somebody told a teacher that came and interrupted. Luckily this didn't affect me much, I barely recall it and I recall I was mainly annoied by these ""stupid guys"". But now that I am an adult it makes me wonder what made them come up with this, were they abused?",APRIL 20 2023,ITALY
"I had a really bad day at school and i was extremely upset and exhausted and i had been crying and all my makeup and mascara was ruined so i felt very insecure and i had found out i had an hour’s detention [date omitted to preserve anonymity] and i tried to get out of it but they wouldnt let me but they did let me sit in the homework club room so i wouldnt have to see anybody i knew bc i said id felt insecure. Whilst i started doing homework in my detention a year [date omitted to preserve anonymity] boy came and sat next to me (im in year 9) he started talking to me and asking questions like “have you ever done anything your parents dont know about” and complimenting me over and over, i told him to be quiet because it started to annoy me and then i turned and looked at him and he was sat there playing with himself, he told me he had been doing it for 10 minutes and i told hom to stop and got up and left, as soon as i got out the room i told my head of year and since then nothing has been done, i still see him and despite my dad going into the school to talk about it hes still very much there and isnt going anywhere.",APRIL 20 2023,UNITED KINGDOM
"I was 10 years old when this happened. It was break time, him and I were playing along with our mutual friend. We were roleplaying minecraft and the mutual ans I were leaning against a wall pretending to be asleep. I told him to not to anything whilst we were 'sleeping', taking into consideration that we were playing pretend. Nothing happened for a minute until I felt him touching my crotch. I immediately started laughing because I didnt know what he was doing and what actually happened. I joked about telling a teacher, but told him to not do it again since he was getting scared. Later at lunch, I don't remember this clearly, but he did it again and I told a dinner lady and she took me to the headteachers office. He just got told off and nothing else happened to him, but I still remember it everytime I see his face at school, it's almost been 8 years and I hate that it just got dismissed as him just being a boy and me not being taken seriously because I'm a girl. I would say I dont blame him since we were children, but the fact that he did it twice and he's a perverted person [date omitted to preserve anonymity] is what makes me not take his age into consideration.",APRIL 20 2023,UNITED KINGDOM
"hi, i am a boy , 13 and in year 8 at [organisation omitted to preserve anonymity], most of the time in p.e the other boys grab my buldge or make sexual comments which make me quite uncomfortable.",APRIL 20 2023,UNITED KINGDOM
"I was about 7 when I was first sexually abused. My parents had separated and I was with my dad at the weekend. He had a job to do at his cousin's house, and I was left to play with her secondary-school age son. At some point he convinced me to climb under his bed and help him with his homework. He then put a thermometer inside my vagina. I don't recall much about it, but know that he told me it should be a secret. The second instance was during my early teens, my second year of secondary school. I used to get off the bus at my grans house and stay with her until my mum got home. I would usually either go and sit in the kitchen or front room and watch telly. I don't remember the details of how it came about but I think it started that I'd always go and give my grandad a kiss on the cheek as a greeting when I came in, and he must have turned his face towards me one day. Eventually, it became that I would sit next to him on the sofa and he would kiss me inappropriately for minutes at a time. I don't remember when or why it stopped, but I just remember being glad it had. I felt so confused, was he cheating on my gran? I was only 12. I let both of these memories pass in to the distant memories of my early life as I had clearly decided to not report the behaviours so couldn't see any point in hashing it up in my mind. I didn't realise that I should have sought help for the mental repercussions, as I feel these two instances are the reason that I spent my teenage years putting myself in increasingly dangerous situations and having sex with strangers, being taken advantage of and being abused by men who took my lack of no to be a yes. I am now a stable, settled 30 year old and am married with two children and my husband is the kindest, most respectful and caring man you could meet. I am one of the lucky ones. Keep fighting everybody, and know that you can overcome what has been done to you.",APRIL 20 2023,UNITED KINGDOM
"I was 14 years old. I had to sit next to this boy for the whole year in admin and I knew I couldn’t do anything about it or tell anybody because none of the teachers cared or would listen. I knew nobody would do anything about it so I just had to sit there and take it. I hated it, I hated him.",APRIL 20 2023,UNITED KINGDOM
"I use to go to this school I moved. It was a mixed school and I am a female, the uniform would be a jumper and really what ever bottoms. It was sunny pe day and I wore leggings. I was a third year at the time. I was walking in the morning when I felt the worse slap on my ass by a second year boy looking at me with a disgusting stare. He said oh I wish your top half looked as good as your bottom half. I was in disbelief so I walked away and scoffed. Not interested he noticed and said well you’re a fat bitch anyway.",APRIL 20 2023,IRELAND
"If you are reading this thank you. I'll start by stating when this happened, I roughly remember my experience happened [date omitted to preserve anonymity] or [date omitted to preserve anonymity] i was in primary and it started when I was is in year 2 it continued until year 5. I had a classmate and anytime he sat next to me he would always touch my thigh and sometimes even put his hands down my pants and touch my private part, I felt disgusting I never told any[date omitted to preserve anonymity] because I always felt like I was going to be judged by the people around me at the time and I wasn't aware of what he was doing to me I was 7 or 8 at the time. He would also make me touch his penis because he wanted to feel 'excited' I always did what he asked me to do because I was scared of him, at the time he would hit me and punch me if I didn't listen to him. I would always arrive home with bruises on my arms my parents would ask me why i had bruises but I always lied to them by telling them I 'fell off' the swings. the touching got so bad over the [date omitted to preserve anonymity] he would sometimes finger me and tell me I felt 'nice' I would go home crying because I felt stupid for letting him do that, one day I went to school in a skirt and I sat next to him in class for our last lesson I had one of my girl classmates sit next to me so I could feel comfortable at that time she didn't know why I felt comfortable around her, it was [date omitted to preserve anonymity] before lesson ended the classmate next to me dropped her ruler so the guy obviously took advantage and went to 'pick' it up I was sitting there right in front of the ruler and he grabbed it and pushed the ruler right in between my legs I jolted out of my chair and told him I had enough he was begging me not to tell the teacher but I felt like I needed to do something so I went to the teacher and told her. She was furious with what I told her she immediately went up to him and pulled him out of class (she pulled me out of class as well) she asked me how long this was going on for and I told her 3 years she didn't hear his side of the story because she saw how I acted around him when he was near me. after minutes of waiting my mum got called and so did his the police got involved as well, in the end he got removed from school for 1 month and I got therapy for the rest of my school year. the feeling of him touching me is still engraved in my head and I cant get rid of it.",APRIL 19 2023,UNITED KINGDOM
"This is about my first proper boyfriend. He lived about an hour away so to see him I would have to get a bus or train as neither of us had our license. He was pretty much my first everything. The first few times we had sex was entirely on my terms, he had done it before and so was okay with it. About two months into the relationship he started wanting to have sex a lot more. Every time I saw him the first thing he would try and do was have sex. Even if I was on my period or not in the mood. It got to the point where I never wanted to have sex, but he would always talk me into it. He would spend ages - up to 40 minutes one time - trying to get me to say yes. I always would, but that was because I was scared about how he would react if I carried on saying no. For four months of our relationship we only had fully consensual sex once. I started to think that was all he wanted from me, he wouldn't talk to me much during the day and then we were both back from school the conversations would always turn sexual, constantly asking for nudes and especially at night. He once held me by my neck during sex after I had continuously said I didn't want him to. I broke up with after six months. Right now, I am conflicted. I cant tell if what I experienced was sexual assault or not, because I would always say yes in the, even if I didn't want to and always after he would spend ages pressuring me into it.",APRIL 19 2023,UNITED KINGDOM
I was well um i was sexually assulted and rapes when i had ran away from home it has been almost a year and i still dont like talking about it or even like mentioning it but after i got comments in school like you have a nice ass or your lying or have you had sex or where did you go for too weeks or did you shag you bf i even got told once that me and my brother were having sex school wwas a bad experiance for me but this time [date omitted to preserve anonymity] was even worse,APRIL 19 2023,UNITED KINGDOM
"The girls within my unit have constantly been harassed both sexually and otherwise by both male cadets and male members of staff throughout my time in the unit. From sexual conquest lists to being treated like objects of sexual desires we have faced many obstacles throughout. When reported to the staff the biggest consequence given was a verbal warning. Even though we all sat through a briefing at the start of the university year about how sexual harassment was not tolerated in the navy and that it would be instant dismissal. The staff wonder why we don't take welfare issues to them, but how can we if we don't feel like our voices can be heard. One incidence [date omitted to preserve anonymity] a major perpetrator of the sexual harassment was promoted into a position of leadership. One of the very people we are meant to go to when we have an issue. The staff even found what he did funny, Our commanding officer even referring to his sexual conquest list as his ""ultimate orgy list"". A member of staff once made me feel as though I hadn't earned my place in my unit fairly and suggested that my bruises were not from an obstacle course that I had just done but because I had a boyfriend. Repeatedly making comments similar to this even once I had made it clear that it was making me uncomfortable. I have faced multiple sexual harassment comments made by people who have previously been on verbal warnings. Proving that the welfare system doesn't work but when asked if we could change the system the staff close themselves off to protect themselves. The whole issue is perpetuated by the boys club in the leadership team. They just want to protect themselves. When it came out that a large percentage of the girls in the unit were unhappy and had complained we all received messages from the boys about how they felt they had done nothing wrong and why hadn't we told them before. When we had all tried on so many occasions. The fact that the person in charge of welfare [date omitted to preserve anonymity] was part of the 'boys club' only made the issue worse. The issue led to the involvement of one of the most senior officers involved in the organisation where their suggestion was to only give verbal warnings. Even though this contradicts all of the policies that the navy has. No action has been taken against the staff member that complaints were made against, not even a recognition of an email that was sent to the commanding officer where the staff member was named. It has all been hidden away in an attempt to protect careers above the welfare of the female cadets.",APRIL 18 2023,UNITED KINGDOM
a boy from year 13 at [location omitted to preserve anonymity] school in [location omitted to preserve anonymity] sexually assaulted me when I was very drunk. it was a one time fling that was terrifying. since then I have heard a number of varying allegations which have come from this same boy. no one has done anything. he has completely ruined my confidence and self esteem and I truly wish I was brave enough to tell someone.,APRIL 18 2023,UNITED KINGDOM
